saved_time_s,saved_set,recession_depth_mm,contour_099_depth_mm,signed_distance_099_mm,contour_095_depth_mm,signed_distance_095_mm,contour_090_depth_mm,signed_distance_090_mm
0.05,1,0.0038024518,,,,,,
0.1,2,0.0071587714,,,,,,
0.15,3,0.010221618,,,,,,
0.2,4,0.013071871,,,,,,
0.25,5,0.015758925,,,,,,
0.3,6,0.018320445,,,,,,
0.35,7,0.020782969,,,,,,
0.4,8,0.023165375,,,,,,
0.45,9,0.025482112,,,,,,
0.5,10,0.027744916,,,,,,
0.55,11,0.029962168,,,,,,
0.6,12,0.032139837,,,,,,
0.65,13,0.034282919,,,,,,
0.7,14,0.036395136,,,,,,
0.75,15,0.038480016,,,,,,
0.8,16,0.040539453,,,,,,
0.85,17,0.042575806,,,,,,
0.9,18,0.044590673,,,,,,
0.95,19,0.04658537,,,,,,
1,20,0.048561164,,,,,,
1.05,21,0.050519208,,,,,,
1.1,22,0.052460397,,,,,,
1.15,23,0.054385476,,,,,,
1.2,24,0.056295125,,,,,,
1.25,25,0.058189969,,,,,,
1.3,26,0.060070553,,,,,,
1.35,27,0.061937381,,,,,,
1.4,28,0.0637909,,,,,,
1.45,29,0.065631533,,,,,,
1.5,30,0.067459652,,,,,0.0177720681154,-0.0496875838846
1.55,31,0.069275617,,,,,0.0237228400885,-0.0455527769115
1.6,32,0.071079763,,,,,0.0298167397739,-0.0412630232261
1.65,33,0.072872422,,,,,0.0361231984107,-0.0367492235893
1.7,34,0.074653798,,,,,0.0427151672027,-0.0319386307973
1.75,35,0.076423261,,,0.0152905187175,-0.0611327422825,0.0496705256751,-0.0267527353249
1.8,36,0.078181178,,,0.0199632845331,-0.0582178934669,0.0570738818958,-0.0211072961042
1.85,37,0.079928584,,,0.0248305114234,-0.0550980725766,0.065010640357,-0.014917943643
1.9,38,0.081665442,,,0.0299541186117,-0.0517113233883,0.0735881848226,-0.00807725717741
1.95,39,0.083391986,,,0.0353973265391,-0.0479946594609,0.0829216491852,-0.00047033681485
2,40,0.085108474,,,0.0412302542788,-0.0438782197212,0.0931410954672,0.00803262146723
2.05,41,0.086815163,,,0.0475313519359,-0.0392838110641,0.104394376483,0.0175792134835
2.1,42,0.088512311,,,0.0543890439969,-0.0341232670031,0.116850317128,0.0283380061277
2.15,43,0.090200157,,,0.0619041252745,-0.0282960317255,0.130703037256,0.040502880256
2.2,44,0.091878926,,,0.0701912433759,-0.0216876826241,0.149618210191,0.0577392841911
2.25,45,0.093548726,,,0.079382570671,-0.014166155329,0.168253785565,0.0747050595645
2.3,46,0.095209768,0.0148909979094,-0.0803187700906,0.0896300742583,-0.00557969374171,0.176695856967,0.0814860889668
2.35,47,0.096862163,0.0179133151637,-0.0789488478363,0.10110991156,0.00424774855971,0.185722000287,0.0888598372873
2.4,48,0.098506115,0.0211784120776,-0.0773277029224,0.114026832032,0.0155207170317,0.195504491484,0.0969983764842
2.45,49,0.1001418,0.0247375462345,-0.0754042537655,0.128619084098,0.0284772840979,0.205984776633,0.105842976633
2.5,50,0.10176923,0.0286488819471,-0.0731203480529,0.147027342157,0.0452581121574,0.216868690651,0.115099460651
2.55,51,0.10338855,0.0329803556914,-0.0704081943086,0.167001444712,0.0636128947118,0.226070787985,0.122682237985
2.6,52,0.10499991,0.0378101256761,-0.0671897843239,0.174826104957,0.0698261949571,0.235862646986,0.130862736986
2.65,53,0.10660346,0.0432300165401,-0.0633734434599,0.183341795187,0.0767383351873,0.244990160164,0.138386700164
2.7,54,0.10819933,0.0493476431912,-0.0588516868088,0.19254692824,0.08434759824,0.253130007839,0.144930677839
2.75,55,0.10978763,0.0562892102204,-0.0534984197796,0.202114509395,0.0923268793952,0.26178507858,0.15199744858
2.8,56,0.11136848,0.0642027695003,-0.0471657104997,0.212481755289,0.101113275289,0.2704385395,0.1590700595
2.85,57,0.11294197,0.073263453617,-0.039678516383,0.221701480646,0.108759510646,0.278897118837,0.165955148837
2.9,58,0.11450821,0.0836789720931,-0.0308292379069,0.230710522597,0.116202312597,0.287885538359,0.173377328359
2.95,59,0.11606727,0.0956931101231,-0.0203741598769,0.240505869051,0.124438599051,0.296854992155,0.180787722155
3,60,0.11761921,0.109598778491,-0.00802043150892,0.248072644856,0.130453434856,0.305751926757,0.188132716757
3.05,61,0.11916416,0.125740965649,0.00657680564888,0.255970562668,0.136806402668,0.315091490284,0.195927330284
3.1,62,0.12070228,0.144813746477,0.0241114664769,0.264540670734,0.143838390734,0.329637902558,0.208935622558
3.15,63,0.12223365,0.165745029885,0.0435113798854,0.272499864314,0.150266214314,0.344561997203,0.222328347203
3.2,64,0.12375835,0.172571219219,0.0488128692192,0.280640970817,0.156882620817,0.35301284532,0.22925449532
3.25,65,0.12527647,0.180231166647,0.0549546966466,0.289459031838,0.164182561838,0.361861677253,0.236585207253
3.3,66,0.12678807,0.188874421588,0.0620863515878,0.297628308916,0.170840238916,0.370351820075,0.243563750075
3.35,67,0.12829325,0.197177653699,0.0688844036987,0.30576851577,0.17747526577,0.377378818645,0.249085568645
3.4,68,0.12979207,0.206126239797,0.0763341697966,0.31447296064,0.18468089064,0.384858507604,0.255066437604
3.45,69,0.13128461,0.21607869754,0.0847940875395,0.326969392302,0.195684782302,0.392847069135,0.261562459135
3.5,70,0.13277095,0.22364319207,0.0908722420695,0.341826345288,0.209055395288,0.401764767107,0.268993817107
3.55,71,0.13425116,0.232092936002,0.0978417760023,0.350006080894,0.215754920894,0.411128679669,0.276877519669
3.6,72,0.1357253,0.241470261475,0.105744961475,0.358149906538,0.222424606538,0.420923643857,0.285198343857
3.65,73,0.13719347,0.247930743145,0.110737273145,0.366898655235,0.229705185235,0.4310167791,0.2938233091
3.7,74,0.13865573,0.255121531897,0.116465801897,0.373907613379,0.235251883379,0.441608066463,0.302952336463
3.75,75,0.14011217,0.263166325098,0.123054155098,0.380987222866,0.240875052866,0.451954067936,0.311841897936
3.8,76,0.14156288,0.270650045326,0.129087165326,0.388621771558,0.247058891558,0.462536512962,0.320973632962
3.85,77,0.14300791,0.277869368969,0.134861458969,0.396744428401,0.253736518401,0.472541511978,0.329533601978
3.9,78,0.14444736,0.285923054607,0.141475694607,0.405205351729,0.260757991729,0.480657831253,0.336210471253
3.95,79,0.1458813,0.293981093883,0.148099793883,0.414257811188,0.268376511188,0.489148064322,0.343266764322
4,80,0.1473098,0.300607712795,0.153297912795,0.423627678101,0.276317878101,0.497884172073,0.350574372073
4.05,81,0.14873294,0.307969486167,0.159236546167,0.43325278993,0.28451984993,0.506586821931,0.357853881931
4.1,82,0.15015079,0.316185374921,0.166034584921,0.443549254884,0.293398464884,0.515690227528,0.365539437528
4.15,83,0.15156341,0.327163531713,0.175600121713,0.453273542374,0.301710132374,0.523663806306,0.372100396306
4.2,84,0.15297087,0.339388040078,0.186417170078,0.463535204486,0.310564334486,0.530116903459,0.377146033459
4.25,85,0.15437323,0.347758582839,0.193385352839,0.472905661967,0.318532431967,0.536800467807,0.382427237807
4.3,86,0.15577055,0.355041041864,0.199270491864,0.480491374504,0.324720824504,0.543757421828,0.387986871828
4.35,87,0.15716289,0.363124024127,0.205961134127,0.488569221957,0.331406331957,0.551284659073,0.394121769073
4.4,88,0.1585503,0.370684424642,0.212134124642,0.496979938875,0.338429638875,0.559410482907,0.400860182907
4.45,89,0.15993283,0.376864901791,0.216932071791,0.505073359767,0.345140529767,0.568110719142,0.408177889142
4.5,90,0.16131058,0.383668120475,0.222357540475,0.513681359961,0.352370779961,0.575691336623,0.414380756623
4.55,91,0.16268361,0.39118675245,0.22850314245,0.522012052679,0.359328442679,0.582532335286,0.419848725286
4.6,92,0.16405194,0.398733831144,0.234681891144,0.52791688712,0.36386494712,0.589574191318,0.425522251318
4.65,93,0.1654156,0.406702933639,0.241287333639,0.534204717243,0.368789117243,0.596861768316,0.431446168316
4.7,94,0.16677464,0.415542470745,0.248767830745,0.540926105669,0.374151465669,0.605855663555,0.439081023555
4.75,95,0.16812911,0.424205984612,0.256076874612,0.548160799821,0.380031689821,0.615202162549,0.447073052549
4.8,96,0.16947905,0.433013916896,0.263534866896,0.555949948879,0.386470898879,0.623753748928,0.454274698928
4.85,97,0.1708245,0.442726781588,0.271902281588,0.564260692128,0.393436192128,0.629436887356,0.458612387356
4.9,98,0.1721655,0.451677699095,0.279512199095,0.572550785134,0.400385285134,0.635538447897,0.463372947897
4.95,99,0.1735021,0.46113272681,0.28763062681,0.578497462789,0.404995362789,0.642101607829,0.468599507829
5,100,0.17483434,0.470855925644,0.296021585644,0.584729431946,0.409895091946,0.651064048063,0.476229708063
5.05,101,0.17616225,0.477434964495,0.301272714495,0.59129173138,0.41512948138,0.667850810032,0.491688560032
5.1,102,0.17748588,0.48464385713,0.30715797713,0.598432412373,0.420946532373,0.676683449828,0.499197569828
5.15,103,0.17880527,0.492574883986,0.313769613986,0.606861077895,0.428055807895,0.6820572988,0.5032520288
5.2,104,0.18012045,0.500022410069,0.319901960069,0.615768743406,0.435648293406,0.687680169866,0.507559719866
5.25,105,0.18143147,0.507529862945,0.326098392945,0.624051866231,0.442620396231,0.693583313743,0.512151843743
5.3,106,0.18273836,0.515766360738,0.333028000738,0.630156635878,0.447418275878,0.699860378002,0.517122018002
5.35,107,0.18404116,0.522952886645,0.338911726645,0.636779427994,0.452738267994,0.706625032424,0.522583872424
5.4,108,0.18533989,0.528358390643,0.343018500643,0.64397903683,0.45863914683,0.713619058106,0.528279168106
5.45,109,0.18663458,0.534275095661,0.347640515661,0.655001526344,0.468366946344,0.720880254732,0.534245674732
5.5,110,0.18792529,0.540774228282,0.352848938282,0.669613937283,0.481688647283,0.728336717071,0.540411427071
5.55,111,0.18921207,0.547775226577,0.358563156577,0.676854342687,0.487642272687,0.736007812027,0.546795742027
5.6,112,0.19049495,0.554939203219,0.364444253219,0.681996005198,0.491501055198,0.743994021505,0.553499071505
5.65,113,0.19177395,0.562786615948,0.371012665948,0.687452938543,0.495678988543,0.75309914546,0.56132519546
5.7,114,0.1930491,0.571413205442,0.378364105442,0.693263549085,0.500214449085,0.764013629616,0.570964529616
5.75,115,0.19432044,0.576236719582,0.381916279582,0.699409352036,0.505088912036,0.774948152851,0.580627712851
5.8,116,0.19558801,0.581401231088,0.385813221088,0.705559256276,0.509971246276,0.778966217735,0.583378207735
5.85,117,0.19685182,0.587002818164,0.390150998164,0.712024512002,0.515172692002,0.783221007307,0.586369187307
5.9,118,0.19811194,0.593102313176,0.394990373176,0.718846804313,0.520734864313,0.787738573248,0.589626633248
5.95,119,0.19936839,0.599907879513,0.400539489513,0.725930067174,0.526561677174,0.792547475781,0.593179085781
6,120,0.20062122,0.607507769847,0.406886549847,0.733059610379,0.532438390379,0.797679055564,0.597057835564
6.05,121,0.20187046,0.615774199536,0.413903739536,0.740586881164,0.538716421164,0.827810416174,0.625939956174
6.1,122,0.20311617,0.623969547317,0.420853377317,0.748561149941,0.545444979941,0.830738391317,0.627622221317
