target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
1,20,1,1,1,0,1,0.000000,0.025400,0.71733444929122925,0.71733444929122925,0,46206
1,20,1,1,2,1,2,0.025400,0.050800,,0.64357811212539673,1,0
1,20,1,1,3,2,3,0.050800,0.076200,,0.56982177495956421,1,0
1,20,1,1,4,3,4,0.076200,0.101600,,0.49606543779373169,1,0
1,20,1,1,5,4,5,0.101600,0.127000,,0.42230910062789917,1,0
1,20,1,1,6,5,6,0.127000,0.152400,0.34855276346206665,0.34855276346206665,0,51
1,20,1,1,7,6,7,0.152400,0.177800,0.32642537355422974,0.32642537355422974,0,527
1,20,1,1,8,7,8,0.177800,0.203200,0.2690577544271946,0.2690577544271946,0,1547
1,20,1,1,9,8,9,0.203200,0.228600,0.2297507282346487,0.2297507282346487,0,4879
1,20,1,1,10,9,10,0.228600,0.254000,0.18939898908138275,0.18939898908138275,0,7956
1,20,1,1,11,10,11,0.254000,0.279400,0.1508742505684495,0.1508742505684495,0,6239
1,20,1,1,12,11,12,0.279400,0.304800,0.1249941423535347,0.1249941423535347,0,8585
1,20,1,1,13,12,13,0.304800,0.330200,0.11564619280397892,0.11564619280397892,0,9265
1,20,1,1,14,13,14,0.330200,0.355600,0.097764987498521805,0.097764987498521805,0,5304
1,20,1,1,15,14,15,0.355600,0.381000,0.095835466869175434,0.095835466869175434,0,1632
1,20,1,1,16,15,16,0.381000,0.406400,0.075269126333296299,0.075269126333296299,0,476
1,20,1,1,17,16,17,0.406400,0.431800,0.058763002604246141,0.058763002604246141,0,765
1,20,1,1,18,17,18,0.431800,0.457200,0.054066813178360464,0.054066813178360464,0,1989
1,20,1,1,19,18,19,0.457200,0.482600,0.040797760710120201,0.040797760710120201,0,2176
1,20,1,1,20,19,20,0.482600,0.508000,0.042219934985041618,0.042219934985041618,0,1717
1,20,1,1,21,20,21,0.508000,0.533400,0.032959110755473378,0.032959110755473378,0,2057
1,20,1,1,22,21,22,0.533400,0.558800,0.035039585223421453,0.035039585223421453,0,3009
1,20,1,1,23,22,23,0.558800,0.584200,0.0261887950822711,0.0261887950822711,0,5644
1,20,1,1,24,23,24,0.584200,0.609600,0.023326820763759314,0.023326820763759314,0,6851
1,20,1,1,25,24,25,0.609600,0.635000,0.021796682337298989,0.021796682337298989,0,7752
1,20,1,1,26,25,26,0.635000,0.660400,0.0044128044391982257,0.0044128044391982257,0,9265
1,20,1,1,27,26,27,0.660400,0.685800,0.003050275108156105,0.003050275108156105,0,2669
1,20,1,1,28,27,28,0.685800,0.711200,0.0017598136134135227,0.0017598136134135227,0,1632
1,20,1,1,29,28,29,0.711200,0.736600,0.0018601341034809593,0.0018601341034809593,0,2074
1,20,1,1,30,29,30,0.736600,0.762000,0.0014475243915512692,0.0014475243915512692,0,1360
1,20,1,1,31,30,31,0.762000,0.787400,0.00070354386601441854,0.00070354386601441854,0,629
1,20,1,1,32,31,32,0.787400,0.812800,0.0008058256316871848,0.0008058256316871848,0,408
1,20,1,1,33,32,33,0.812800,0.838200,0.00041667285283134942,0.00041667285283134942,0,1241
1,20,1,1,34,33,34,0.838200,0.863600,0.00040708748420001937,0.00040708748420001937,0,2822
1,20,1,1,35,34,35,0.863600,0.889000,0.00046172356087481603,0.00046172356087481603,0,4981
1,20,1,1,36,35,36,0.889000,0.914400,0.00031306069049605865,0.00031306069049605865,0,6171
1,20,1,1,37,36,37,0.914400,0.939800,0.00044352327495289501,0.00044352327495289501,0,6086
1,20,1,1,38,37,38,0.939800,0.965200,1.4970814390835585e-05,1.4970814390835585e-05,0,6154
1,20,1,1,39,38,39,0.965200,0.990600,8.8427865136964101e-06,8.8427865136964101e-06,0,7973
