target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
1,92,1,1,1,0,1,0.000000,0.012700,0.47030550241470337,0.47030550241470337,0,303
1,92,1,1,2,1,2,0.012700,0.025400,0.42073151469230652,0.42073151469230652,0,303
1,92,1,1,3,2,3,0.025400,0.038100,,0.39189442992210388,1,0
1,92,1,1,4,3,4,0.038100,0.050800,0.36305734515190125,0.36305734515190125,0,303
1,92,1,1,5,4,5,0.050800,0.063500,0.31085860729217529,0.31085860729217529,0,303
1,92,1,1,6,5,6,0.063500,0.076200,,0.28739975392818451,1,0
1,92,1,1,7,6,7,0.076200,0.088900,0.26394090056419373,0.26394090056419373,0,303
1,92,1,1,8,7,8,0.088900,0.101600,0.22227002680301666,0.22227002680301666,0,303
1,92,1,1,9,8,9,0.101600,0.114300,,0.20402674376964569,1,0
1,92,1,1,10,9,10,0.114300,0.127000,0.18578346073627472,0.18578346073627472,0,303
1,92,1,1,11,10,11,0.127000,0.139700,0.15427767485380173,0.15427767485380173,0,303
1,92,1,1,12,11,12,0.139700,0.152400,,0.14084496907889843,1,0
1,92,1,1,13,12,13,0.152400,0.165100,0.12741226330399513,0.12741226330399513,0,303
1,92,1,1,14,13,14,0.165100,0.177800,,0.11607249639928341,1,0
1,92,1,1,15,14,15,0.177800,0.190500,0.10473272949457169,0.10473272949457169,0,303
1,92,1,1,16,15,16,0.190500,0.203200,0.085737958550453186,0.085737958550453186,0,303
1,92,1,1,17,16,17,0.203200,0.215900,,0.077832464128732681,1,0
1,92,1,1,18,17,18,0.215900,0.228600,0.069926969707012177,0.069926969707012177,0,303
1,92,1,1,19,18,19,0.228600,0.241300,0.056838804855942726,0.056838804855942726,0,303
1,92,1,1,20,19,20,0.241300,0.254000,,0.051447028294205666,1,0
1,92,1,1,21,20,21,0.254000,0.266700,0.046055251732468605,0.046055251732468605,0,303
1,92,1,1,22,21,22,0.266700,0.279400,0.037204571068286896,0.037204571068286896,0,303
1,92,1,1,23,22,23,0.279400,0.292100,,0.03358407923951745,1,0
1,92,1,1,24,23,24,0.292100,0.304800,0.029963587410748005,0.029963587410748005,0,303
1,92,1,1,25,24,25,0.304800,0.317500,0.024057228118181229,0.024057228118181229,0,303
1,92,1,1,26,25,26,0.317500,0.330200,,0.021655632648617029,1,0
1,92,1,1,27,26,27,0.330200,0.342900,0.01925403717905283,0.01925403717905283,0,303
1,92,1,1,28,27,28,0.342900,0.355600,,0.017305987188592553,1,0
1,92,1,1,29,28,29,0.355600,0.368300,0.015357937198132277,0.015357937198132277,0,303
1,92,1,1,30,29,30,0.368300,0.381000,0.012205138336867094,0.012205138336867094,0,303
1,92,1,1,31,30,31,0.381000,0.393700,,0.010933918179944158,1,0
1,92,1,1,32,31,32,0.393700,0.406400,0.0096626980230212212,0.0096626980230212212,0,303
1,92,1,1,33,32,33,0.406400,0.419100,0.0076202631462365389,0.0076202631462365389,0,303
1,92,1,1,34,33,34,0.419100,0.431800,,0.0068031062837690115,1,0
1,92,1,1,35,34,35,0.431800,0.444500,0.0059859494213014841,0.0059859494213014841,0,303
1,92,1,1,36,35,36,0.444500,0.457200,0.0046834570821374655,0.0046834570821374655,0,303
1,92,1,1,37,36,37,0.457200,0.469900,,0.0041665671160444617,1,0
1,92,1,1,38,37,38,0.469900,0.482600,0.003649677149951458,0.003649677149951458,0,303
1,92,1,1,39,38,39,0.482600,0.495300,,0.0032411451102234423,1,0
1,92,1,1,40,39,40,0.495300,0.508000,0.0028326130704954267,0.0028326130704954267,0,303
1,92,1,1,41,40,41,0.508000,0.520700,0.0021895841928198934,0.0021895841928198934,0,303
1,92,1,1,42,41,42,0.520700,0.533400,,0.0019376419950276613,1,0
1,92,1,1,43,42,43,0.533400,0.546100,0.0016856997972354293,0.0016856997972354293,0,303
1,92,1,1,44,43,44,0.546100,0.558800,0.0012925639166496694,0.0012925639166496694,0,303
1,92,1,1,45,44,45,0.558800,0.571500,,0.001139866333687678,1,0
1,92,1,1,46,45,46,0.571500,0.584200,0.00098716875072568655,0.00098716875072568655,0,303
1,92,1,1,47,46,47,0.584200,0.596900,0.00075096049113199115,0.00075096049113199115,0,303
1,92,1,1,48,47,48,0.596900,0.609600,,0.00066000557853840292,1,0
1,92,1,1,49,48,49,0.609600,0.622300,0.00056905066594481468,0.00056905066594481468,0,303
1,92,1,1,50,49,50,0.622300,0.635000,0.00042955249955412,0.00042955249955412,0,303
1,92,1,1,51,50,51,0.635000,0.647700,,0.00037628839345416054,1,0
1,92,1,1,52,51,52,0.647700,0.660400,0.00032302428735420108,0.00032302428735420108,0,303
1,92,1,1,53,52,53,0.660400,0.673100,,0.00028251721596461721,1,0
