bin_index,depth_percent_start,depth_percent_end,depth_mm_start,depth_mm_end,raw_max_svar1,plotted_max_svar1,interpolated,nodal_sample_count
1,0,1,0.000000,0.025400,1,1,0,22814
2,1,2,0.025400,0.050800,,1,1,0
3,2,3,0.050800,0.076200,,1,1,0
4,3,4,0.076200,0.101600,,1,1,0
5,4,5,0.101600,0.127000,,1,1,0
6,5,6,0.127000,0.152400,1,1,0,51
7,6,7,0.152400,0.177800,1,1,0,527
8,7,8,0.177800,0.203200,1,1,0,1547
9,8,9,0.203200,0.228600,1,1,0,4879
10,9,10,0.228600,0.254000,1,1,0,7956
11,10,11,0.254000,0.279400,1,1,0,6239
12,11,12,0.279400,0.304800,1,1,0,8585
13,12,13,0.304800,0.330200,1,1,0,9265
14,13,14,0.330200,0.355600,1,1,0,5304
15,14,15,0.355600,0.381000,0.99999998509883881,0.99999998509883881,0,1632
16,15,16,0.381000,0.406400,0.99999998013178504,0.99999998013178504,0,476
17,16,17,0.406400,0.431800,0.99999990065892541,0.99999990065892541,0,765
18,17,18,0.431800,0.457200,0.99999982118606567,0.99999982118606567,0,1989
19,18,19,0.457200,0.482600,0.99999967217445374,0.99999967217445374,0,2176
20,19,20,0.482600,0.508000,0.9999992847442627,0.9999992847442627,0,1717
21,20,21,0.508000,0.533400,0.99999856948852539,0.99999856948852539,0,2057
22,21,22,0.533400,0.558800,0.99999670684337616,0.99999670684337616,0,3009
23,22,23,0.558800,0.584200,0.9999939501285553,0.9999939501285553,0,5644
24,23,24,0.584200,0.609600,0.99998678763707483,0.99998678763707483,0,6851
25,24,25,0.609600,0.635000,0.99997617304325104,0.99997617304325104,0,7752
26,25,26,0.635000,0.660400,0.99995943903923035,0.99995943903923035,0,9265
27,26,27,0.660400,0.685800,0.9999407331148783,0.9999407331148783,0,2669
28,27,28,0.685800,0.711200,0.99988538026809692,0.99988538026809692,0,1632
29,28,29,0.711200,0.736600,0.99979502956072486,0.99979502956072486,0,2074
30,29,30,0.736600,0.762000,0.99965863426526391,0.99965863426526391,0,1360
31,30,31,0.762000,0.787400,0.99946473042170203,0.99946473042170203,0,629
32,31,32,0.787400,0.812800,0.9990808516740799,0.9990808516740799,0,408
33,32,33,0.812800,0.838200,0.9989036122957865,0.9989036122957865,0,1241
34,33,34,0.838200,0.863600,0.99752600789070134,0.99752600789070134,0,2822
35,34,35,0.863600,0.889000,0.99671556055545807,0.99671556055545807,0,4981
36,35,36,0.889000,0.914400,0.99535566568374634,0.99535566568374634,0,6171
37,36,37,0.914400,0.939800,0.99289755821228032,0.99289755821228032,0,6086
38,37,38,0.939800,0.965200,0.98925743997097015,0.98925743997097015,0,6154
39,38,39,0.965200,0.990600,0.98504814505577087,0.98504814505577087,0,7973
40,39,40,0.990600,1.016000,0.98104031383991241,0.98104031383991241,0,3978
41,40,41,1.016000,1.041400,0.9732799232006073,0.9732799232006073,0,629
42,41,42,1.041400,1.066800,0.96350236237049103,0.96350236237049103,0,238
43,42,43,1.066800,1.092200,0.95547936111688614,0.95547936111688614,0,408
44,43,44,1.092200,1.117600,0.94275830686092377,0.94275830686092377,0,459
45,44,45,1.117600,1.143000,0.93710947036743164,0.93710947036743164,0,901
46,45,46,1.143000,1.168400,0.90555666089057918,0.90555666089057918,0,1666
47,46,47,1.168400,1.193800,0.88645016402006149,0.88645016402006149,0,4335
48,47,48,1.193800,1.219200,0.87592925131320953,0.87592925131320953,0,7769
49,48,49,1.219200,1.244600,0.83195235580205917,0.83195235580205917,0,5304
50,49,50,1.244600,1.270000,0.80871024131774905,0.80871024131774905,0,4913
51,50,51,1.270000,1.295400,0.765313521027565,0.765313521027565,0,7446
52,51,52,1.295400,1.320800,0.73160398006439209,0.73160398006439209,0,6664
53,52,53,1.320800,1.346200,0.70107178092002864,0.70107178092002864,0,187
54,53,54,1.346200,1.371600,0.65027090907096863,0.65027090907096863,0,340
