time_s,east_m,north_m,up_m
0.0,0.0,0.0,0.0
0.5,1.9,0.85,16.82960753196888
1.0,3.8,1.7,33.6570964437074
1.5,5.699999999999999,2.55,50.48034838169088
2.0,7.6,3.4,67.29724552577238
2.5,9.5,4.25,84.10567085578768
3.0,11.399999999999999,5.1,100.90350841805947
3.5,13.299999999999999,5.95,117.68864359176742
4.0,15.2,6.8,134.45896335515025
4.5,17.099999999999998,7.6499999999999995,151.21235655150673
5.0,19.0,8.5,167.9467141549618
5.5,20.9,9.35,184.65992953596424
6.0,22.799999999999997,10.2,201.3498987264832
6.5,24.7,11.049999999999999,218.01452068486907
7.0,26.599999999999998,11.9,234.6516975603463
7.5,28.5,12.75,251.2593349571046
8.0,30.4,13.6,267.83534219795496
8.5,32.3,14.45,284.37763258751767
9.0,34.199999999999996,15.299999999999999,300.8841236749092
9.5,36.1,16.15,317.35273751589426
10.0,38.0,17.0,333.7814009344716
10.5,39.9,17.849999999999998,350.1680457838581
11.0,41.8,18.7,366.51060920684097
11.5,43.699999999999996,19.55,382.80703389546363
12.0,45.599999999999994,20.4,399.0552683500127
12.5,47.5,21.25,415.253267137274
13.0,49.4,22.099999999999998,431.3989911480259
13.5,51.3,22.95,447.49040785373415
14.0,53.199999999999996,23.8,463.5254915624211
14.5,55.099999999999994,24.65,479.5022236736722
15.0,57.0,25.5,495.4185929327506
15.5,58.9,26.349999999999998,511.27259568378736
16.0,60.8,27.2,527.062236122014
16.5,62.699999999999996,28.05,542.7855265450082
17.0,64.6,28.9,558.4404876029178
17.5,66.5,29.75,574.0251485476347
18.0,68.39999999999999,30.599999999999998,589.5375474808855
18.5,70.3,31.45,604.9757316012076
19.0,72.2,32.3,620.337757449781
19.5,74.1,33.15,635.621691155083
20.0,76.0,34.0,650.8256086763372
20.5,77.89999999999999,34.85,665.947596045723
21.0,79.8,35.699999999999996,680.9857496093202
21.5,81.7,36.55,695.938176266751
22.0,83.6,37.4,710.8029937094979
22.5,85.5,38.25,725.5783306578596
23.0,87.39999999999999,39.1,740.2623270965203
23.5,89.3,39.949999999999996,754.8531345087
24.0,91.19999999999999,40.8,769.3489161088592
24.5,93.1,41.65,783.7478470739233
25.0,95.0,42.5,798.0481147730048
25.5,96.89999999999999,43.35,812.2479189955885
26.0,98.8,44.199999999999996,826.3454721781538
26.5,100.69999999999999,45.05,840.3389996292041
27.0,102.6,45.9,854.226739752678
27.5,104.5,46.75,868.0069442697086
28.0,106.39999999999999,47.6,881.6778784387097
28.5,108.3,48.449999999999996,895.2378212737555
29.0,110.19999999999999,49.3,908.6850657612297
29.5,112.1,50.15,922.0179190747158
30.0,114.0,51.0,935.2347027881002
30.5,115.89999999999999,51.85,948.3337530868645
31.0,117.8,52.699999999999996,961.3134209775362
31.5,119.69999999999999,53.55,974.1720724952755
32.0,121.6,54.4,986.9080889095688
32.5,123.5,55.25,999.5198669280059
33.0,125.39999999999999,56.1,1012.0058188981114
33.5,127.3,56.949999999999996,1024.3643730072106
34.0,129.2,57.8,1036.5939734802969
34.5,131.1,58.65,1048.6930807758863
35.0,133.0,59.5,1060.6601717798212
35.5,134.9,60.35,1072.4937399970129
36.0,136.79999999999998,61.199999999999996,1084.1922957410873
36.5,138.7,62.05,1095.7543663219165
37.0,140.6,62.9,1107.1784962310107
37.5,142.5,63.75,1118.4632473247484
38.0,144.4,64.6,1129.6071990054163
38.5,146.29999999999998,65.45,1140.6089484000463
39.0,148.2,66.3,1151.4671105370167
39.5,150.1,67.14999999999999,1162.1803185204014
40.0,152.0,68.0,1172.7472237020447
40.5,153.9,68.85,1183.1664958513365
41.0,155.79999999999998,69.7,1193.4368233226714
41.5,157.7,70.55,1203.556913220567
42.0,159.6,71.39999999999999,1213.5254915624212
42.5,161.5,72.25,1223.3413034388902
43.0,163.4,73.1,1233.003113171865
43.5,165.29999999999998,73.95,1242.5097044700246
44.0,167.2,74.8,1251.8598805819538
44.5,169.1,75.64999999999999,1261.0524644467953
45.0,171.0,76.5,1270.0862988424262
45.5,172.9,77.35,1278.9602465311382
46.0,174.79999999999998,78.2,1287.6731904027993
46.5,176.7,79.05,1296.224033615482
47.0,178.6,79.89999999999999,1304.611699733543
47.5,180.5,80.75,1312.8351328631306
48.0,182.39999999999998,81.6,1320.893297785107
48.5,184.29999999999998,82.45,1328.7851800853698
49.0,186.2,83.3,1336.5097862825519
49.5,188.1,84.14999999999999,1344.0661439530877
50.0,190.0,85.0,1351.4533018536288
50.5,191.89999999999998,85.85,1358.670330040791
51.0,193.79999999999998,86.7,1365.7163199882239
51.5,195.7,87.55,1372.5903847009797
52.0,197.6,88.39999999999999,1379.2916588271758
52.5,199.5,89.25,1385.8192987669302
53.0,201.39999999999998,90.1,1392.1724827785583
53.5,203.29999999999998,90.95,1398.3504110820213
54.0,205.2,91.8,1404.3523059596057
54.5,207.1,92.64999999999999,1410.1774118538285
55.0,209.0,93.5,1415.8249954625514
55.5,210.89999999999998,94.35,1421.2943458312932
